ResponseConspecifics,ResponseHeterospecifics,MaleID
1,0,1
0.333333333,0.666666667,2
0,0,3
0.333333333,0,4
0.666666667,0,5
0,0.166666667,6
1.333333333,1.333333333,7
0.333333333,0.333333333,8
1,1.333333333,9
0.666666667,1,10
0.666666667,0.333333333,11
1.333333333,0.83333333,12
0.333333333,0,13
1.333333333,0.666666667,14
1.833333333,0,15
0.333333333,0,16
1,0,17
1,0.666666667,19
1.333333333,0.333333333,20
0.333333333,0.333333333,21
0.333333333,1.333333333,18
0,0,46
0.333333333,0,47
0.333333333,0,27
0.333333333,0.666666667,28
1.333333333,0,29
0,0,30
0.666666667,0,31
0,0,32