uv,fish,aquarium,pigmentation
Control,Control,a,23.14
Control,Control,a,11.58
Control,Control,a,68.43
Control,Control,a,56.64
Control,Control,a,54.56
Control,Control,b,27.26
Control,Control,b,13.86
Control,Control,b,32.79
Control,Control,b,33.55
Control,Control,b,22.4
Control,Control,c,67.88
Control,Control,c,40.84
Control,Control,c,52.06
Control,Control,c,24.04
Control,Control,c,49.88
Control,Control,d,42.02
Control,Control,d,65.48
Control,Control,d,44.42
Control,Control,d,15.26
Control,Control,d,18.02
Control,Control,e,44.3
Control,Control,e,41.46
Control,Control,e,48.18
Control,Control,e,21.26
Control,Control,e,12.16
Control,Control,f,66.04
Control,Control,f,40.41
Control,Control,f,47.13
Control,Control,f,34.66
Control,Control,f,23.06
Control,Control,g,45.34
Control,Control,g,34.01
Control,Control,g,64.11
Control,Control,g,44.47
Control,Control,g,19.12
Control,Control,h,50.56
Control,Control,h,69.21
Control,Control,h,53.96
Control,Control,h,54.49
Control,Control,h,46.42
UV,Control,i,70.13
UV,Control,i,62.4
UV,Control,i,68.12
UV,Control,i,48.81
UV,Control,i,68.7
UV,Control,j,85.11
UV,Control,j,73.45
UV,Control,j,75.08
UV,Control,j,66.06
UV,Control,j,60.17
UV,Control,k,71.83
UV,Control,k,86.43
UV,Control,k,67.16
UV,Control,k,86.61
UV,Control,k,79.36
UV,Control,l,78.74
UV,Control,l,53.49
UV,Control,l,73.65
UV,Control,l,65.24
UV,Control,l,43.72
UV,Control,m,70.91
UV,Control,m,76.26
UV,Control,m,51.86
UV,Control,m,44.69
UV,Control,m,37.32
UV,Control,n,70.71
UV,Control,n,69.86
UV,Control,n,76.54
UV,Control,n,86.46
UV,Control,n,67.93
UV,Control,o,83.19
UV,Control,o,70.4
UV,Control,o,58.95
UV,Control,o,29.14
UV,Control,o,7.91
UV,Control,p,79.82
UV,Control,p,83.73
UV,Control,p,66.04
UV,Control,p,81.14
UV,Control,p,73.03
Control,Fish,q,54.15
Control,Fish,q,39.04
Control,Fish,q,42.42
Control,Fish,q,69.83
Control,Fish,q,26.6
Control,Fish,r,51.07
Control,Fish,r,49.25
Control,Fish,r,29.62
Control,Fish,r,40.48
Control,Fish,r,23.19
Control,Fish,s,53.47
Control,Fish,s,35.52
Control,Fish,s,51.65
Control,Fish,s,33.27
Control,Fish,s,30.42
Control,Fish,t,65.94
Control,Fish,t,66.24
Control,Fish,t,19.28
Control,Fish,t,63.66
Control,Fish,t,21.44
Control,Fish,u,59.51
Control,Fish,u,73.04
Control,Fish,u,40.37
Control,Fish,u,75.52
Control,Fish,u,58.96
Control,Fish,v,72.93
Control,Fish,v,78.66
Control,Fish,v,87.39
Control,Fish,v,72.46
Control,Fish,v,53.06
Control,Fish,x,56.32
Control,Fish,x,71.45
Control,Fish,x,71.56
Control,Fish,x,69.19
Control,Fish,x,73.33
Control,Fish,y,76.24
Control,Fish,y,62.35
Control,Fish,y,66.8
Control,Fish,y,37.73
Control,Fish,y,19.38
UV,Fish,z,63.95
UV,Fish,z,83.65
UV,Fish,z,75.28
UV,Fish,z,80.01
UV,Fish,z,85.37
UV,Fish,ab,83.52
UV,Fish,ab,79.76
UV,Fish,ab,45.73
UV,Fish,ab,58.92
UV,Fish,ab,59.48
UV,Fish,ac,66.2
UV,Fish,ac,80.73
UV,Fish,ac,80.84
UV,Fish,ac,73.82
UV,Fish,ac,80.14
UV,Fish,ad,67.35
UV,Fish,ad,67.71
UV,Fish,ad,80.28
UV,Fish,ad,69.79
UV,Fish,ad,60.82
UV,Fish,ae,78.09
UV,Fish,ae,69.6
UV,Fish,ae,58.11
UV,Fish,ae,75.78
UV,Fish,ae,30.65
UV,Fish,af,68.34
UV,Fish,af,77.72
UV,Fish,af,79.74
UV,Fish,af,81.66
UV,Fish,af,71.89
UV,Fish,ag,83.46
UV,Fish,ag,82.17
UV,Fish,ag,84.06
UV,Fish,ag,64.63
UV,Fish,ag,76.86
UV,Fish,ah,83.96
UV,Fish,ah,74.99
UV,Fish,ah,63.54
UV,Fish,ah,83.16
UV,Fish,ah,82.94